kind,source_id,filename,topic,chapters,url,slides,sha256,verification
whiteboard,BV1RA411q7wt_p1,BV1RA411q7wt_p1_manuscript.md,马尔可夫链、回报与问题入口,1–2,https://www.bilibili.com/video/BV1RA411q7wt/?p=1,,5d3190b04916e0d0a2baa7490a1c2af1a75d48238f8094e82f7dca0b2d35384d,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1RA411q7wt_p2,BV1RA411q7wt_p2_manuscript.md,MDP 与环境动态,1–2,https://www.bilibili.com/video/BV1RA411q7wt/?p=2,,4a44ba77de1f09549cf565685cf7b20632595a54f87c6bd39161f41e7b8f837a,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1RA411q7wt_p3,BV1RA411q7wt_p3_manuscript.md,策略与价值函数,2,https://www.bilibili.com/video/BV1RA411q7wt/?p=3,,64d165d217570c8066878e919a48c7baa940a660911e3f31dd681368ff2d6ac6,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1RA411q7wt_p4,BV1RA411q7wt_p4_manuscript.md,Bellman 期望方程,2,https://www.bilibili.com/video/BV1RA411q7wt/?p=4,,879fb190e366c8824147d0b414ec23c8a7d466ffcf8086278f29efed1f1c4f7e,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1RA411q7wt_p5,BV1RA411q7wt_p5_manuscript.md,Bellman 最优方程,2,https://www.bilibili.com/video/BV1RA411q7wt/?p=5,,93df53a1cd5ccb502b73454300f9847e407d619ac4903b107446de5eadbfc448,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1nV411k7ve_p1,BV1nV411k7ve_p1_manuscript.md,动态规划概览、矩阵策略评估,2,https://www.bilibili.com/video/BV1nV411k7ve/?p=1,,8d0200bcd97f04a623ec26e2a778220cb281dcaa3714debd4122d170910be757,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1nV411k7ve_p2,BV1nV411k7ve_p2_manuscript.md,迭代策略评估,2,https://www.bilibili.com/video/BV1nV411k7ve/?p=2,,84147c1ef6470b048329683c0d004fb2857fad0075e2c12a31dad7421a4e91fa,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1nV411k7ve_p3,BV1nV411k7ve_p3_manuscript.md,策略改进定理,2,https://www.bilibili.com/video/BV1nV411k7ve/?p=3,,1a0263e119a9a86f6ab72d757da76c1049c1d715b2b41b7455cd127fa9ff5cc7,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1nV411k7ve_p4,BV1nV411k7ve_p4_manuscript.md,贪心改进与策略迭代,2,https://www.bilibili.com/video/BV1nV411k7ve/?p=4,,4e95133e251aa2448ba69378e92939e1cbe20afc1b0d661aedf1f30f606a7d65,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1nV411k7ve_p5,BV1nV411k7ve_p5_manuscript.md,价值迭代与广义策略迭代,2,https://www.bilibili.com/video/BV1nV411k7ve/?p=5,,0ef096b0d98f189d6b2a48852d423e993c82c0c7b9fe821be8fbc73ee69c39fd,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1rF411J7Mw_p1,BV1rF411J7Mw_p1_manuscript.md,MC 前情回顾,2–3,https://www.bilibili.com/video/BV1rF411J7Mw/?p=1,,f73fb99276f7584ef6e0dfcc15578afd5fb927e6b0db7f1bf7c3657ca91813e0,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1vm4y1Z7Ce_p1,BV1vm4y1Z7Ce_p1_manuscript.md,MC 策略评估,3,https://www.bilibili.com/video/BV1vm4y1Z7Ce/?p=1,,4840713b51cf7a68772879b005ad7cdc621f2de8afe591ba92d8001e027ef701,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
whiteboard,BV1N5411o7QD_p1,BV1N5411o7QD_p1_manuscript.md,Exploring Starts MC 控制,3,https://www.bilibili.com/video/BV1N5411o7QD/?p=1,,be588e24ac096532a76c6bc3b4e26a9c9870bf03dafa670bba5589ba8e2196e6,标题/主题与代表段落核对；未逐句回放原视频；截图缺失
